# ntheta  nphi   nfp  isymm  isort
   101     72      4    2      9
# magnetic axis
# raxis       zaxis
 9.67518206E+00    1.33449321E+00
 9.59297498E+00    1.36932609E+00
 9.51128845E+00    1.39660381E+00
 9.43093102E+00    1.41638140E+00
 9.35267460E+00    1.42878197E+00
 9.27724419E+00    1.43399311E+00
 9.20530851E+00    1.43226236E+00
 9.13747146E+00    1.42389207E+00
 9.07426474E+00    1.40923349E+00
 9.01614154E+00    1.38868039E+00
 8.96347156E+00    1.36266222E+00
 8.91653736E+00    1.33163688E+00
 8.87553202E+00    1.29608338E+00
 8.84055830E+00    1.25649425E+00
 8.81162913E+00    1.21336808E+00
 8.78866955E+00    1.16720218E+00
 8.77151999E+00    1.11848539E+00
 8.75994085E+00    1.06769138E+00
 8.75361826E+00    1.01527229E+00
 8.75217103E+00    9.61653044E-01
 8.75515853E+00    9.07226150E-01
 8.76208949E+00    8.52347362E-01
 8.77243148E+00    7.97332029E-01
 8.78562100E+00    7.42452294E-01
 8.80107392E+00    6.87935155E-01
 8.81819620E+00    6.33961403E-01
 8.83639461E+00    5.80665452E-01
 8.85508742E+00    5.28136046E-01
 8.87371465E+00    4.76417830E-01
 8.89174805E+00    4.25513735E-01
 8.90870027E+00    3.75388140E-01
 8.92413338E+00    3.25970746E-01
 8.93766647E+00    2.77161077E-01
 8.94898215E+00    2.28833540E-01
 8.95783203E+00    1.80842938E-01
 8.96404086E+00    1.33030343E-01
 8.96750944E+00    8.52292110E-02
 8.96821624E+00    3.72716484E-02
 8.96621754E+00   -1.10053071E-02
 8.96164631E+00   -5.97534873E-02
 8.95470972E+00   -1.09107594E-01
 8.94568534E+00   -1.59179512E-01
 8.93491606E+00   -2.10053025E-01
 8.92280395E+00   -2.61779057E-01
 8.90980296E+00   -3.14371492E-01
 8.89641072E+00   -3.67803686E-01
 8.88315958E+00   -4.22005720E-01
 8.87060690E+00   -4.76862449E-01
 8.85932493E+00   -5.32212402E-01
 8.84989025E+00   -5.87847550E-01
 8.84287315E+00   -6.43513965E-01
 8.83882698E+00   -6.98913359E-01
 8.83827764E+00   -7.53705508E-01
 8.84171346E+00   -8.07511505E-01
 8.84957566E+00   -8.59917826E-01
 8.86224938E+00   -9.10481132E-01
 8.88005562E+00   -9.58733750E-01
 8.90324412E+00   -1.00418975E+00
 8.93198733E+00   -1.04635150E+00
 8.96637557E+00   -1.08471670E+00
 9.00641343E+00   -1.11878561E+00
 9.05201760E+00   -1.14806854E+00
 9.10301596E+00   -1.17209337E+00
 9.15914815E+00   -1.19041306E+00
 9.22006756E+00   -1.20261296E+00
 9.28534465E+00   -1.20831783E+00
 9.35447161E+00   -1.20719849E+00
 9.42686834E+00   -1.19897797E+00
 9.50188957E+00   -1.18343700E+00
 9.57883306E+00   -1.16041890E+00
 9.65694884E+00   -1.12983359E+00
 9.73544912E+00   -1.09166084E+00
 9.81351903E+00   -1.04595252E+00
 9.89032776E+00   -9.92833997E-01
 9.96504013E+00   -9.32504497E-01
 1.00368282E+01   -8.65236475E-01
 1.01048830E+01   -7.91374003E-01
 1.01684261E+01   -7.11330173E-01
 1.02267205E+01   -6.25583546E-01
 1.02790813E+01   -5.34673703E-01
 1.03248858E+01   -4.39195937E-01
 1.03635821E+01   -3.39795181E-01
 1.03946976E+01   -2.37159225E-01
 1.04178454E+01   -1.32011349E-01
 1.04327305E+01   -2.51024486E-02
